Country Name,Country Code,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Ecuador,ECU,657904.4846244,829975.0102438,1014201.432,1547507.4840000002,2740137.9760000003,3647184.6840000004,4376764.5585,4807346.970636,5471305.934094,6366968.894248,7310477.172096001,7960755.579899999,8923156.792430999,9351811.602,9803489.525,10265292.432,12405067.955,12414373.527142,12426482.334357,13070495.476269
"Egypt, Arab Rep.",EGY,9473711.205599999,10340378.01,11296875.049800001,13509478.8675,15464248.498900002,17500327.2,19266351.552,23319823.104000002,24594504.264000002,28028064.582,33056947.158683997,37667117.160348,41926461.715309,46611585.01361401,49590582.834842004,61609567.943982,78613096.903608,79951181.68448,81308236.75325,93521137.12400423
Euro area,EMU,156665407.14616802,170014166.7002298,183373768.12630248,205973821.47018006,218691092.29856,227574747.304052,241329230.78118438,243898986.41346005,251721443.9002209,258610807.89248475,263794242.45242622,265987176.54517964,268588342.7196419,274608792.32925844,286952432.31200576,288760580.86653996,295591087.155425,302659824.09226686,311296223.523904,316838037.2447744
Eritrea,ERI,1184801.4516092138,1315014.4087589215,1420266.2221422729,11247.2102,13236.7369,15594.579000000002,17965.6346,20989.395,24295.904,27669.24,30642.2127,33655.7336658,36781.4450976,78758.675,169216.28,362901.72799999994,783329.0805419999,840865.781353,906715.154074,3228434.0363741904
Spain,ESP,18889925.989499997,20901130.614,22362929.580299996,24924491.1333,27388647.176,28930478.304,30647598.226,31359675.4173,32652269.6955,33396269.235750005,35412250.126694,36547252.521472,37448164.640006006,39418902.707192,40296235.632288,42760111.373519,44147442.936680004,44522245.17115,45125449.941585,46145952.78696
Estonia,EST,724876.6,832509.2375,855359.031,887396.0920000001,943718.122,967523.375,986622.9749999999,1015490.835,1036860.0717039999,1054454.273871,1107392.4261750001,1162947.382479,1147897.82758,1160648.2386,1181278.98789,1197245.469522,1184049.691326,1210877.940804,1234461.06568,1276879.084524
Ethiopia,ETH,118174.5279401,172141.984602,250659.3906957,307481.9029,384946.506,475241.2344000001,679038.855,1024649.6700000002,2778164.2430000002,4528182.546,7785901.97,14390999.28852,16399273.236378,17107971.036,17913600.167999998,18517981.28,19109594.059016,20394823.562828,24297092.519147,117976827.67575508
European Union,EUU,191998944.04440802,210597720.6563707,230007627.92770112,255746984.28286964,274124038.6132866,286981290.4309535,303522615.83394426,306958447.95922035,317125896.6576866,325646057.3825281,333484714.06586885,336373222.9230113,342676671.2507446,351214289.1309213,365413560.80488414,370184895.6511588,379474578.63025314,388316276.78040534,398153596.7224411,404662410.765304
Fragile and conflict affected situations,FCS,9920632.19251526,16160696.011,22313458.132000003,31687447.941999998,40007524.509,51845311.406,65039164.853999995,78025365.21599999,95780363.26,114331889.37,136212673.428,158893085.73,182522805.2,209928124.35,241273116.29299998,272950753.32,317944506.198,346355646.52,381004030.774,416104286.862
Finland,FIN,3784673.7108,3907292.3008000003,4195109.0888,4272228.016,4445720.943299999,4404034.687899999,4660216.552800001,4779936.0912,4866077.134799999,4977442.591968,4725868.179648,4735525.760350999,4819578.561907999,4817974.195446,4902750.1725,4947767.574844,5096596.371729,5142512.598377,5166556.296128,5221732.948629
Fiji,FJI,64816.226960399996,74593.1440956,85475.39614599998,97843.93569600002,117441.87,154230.63,182083.8,255636.92,308715.29123200005,322555.90400000004,343176.79,390395.65,454251.8372,604359.6702,631937.02,706180.3464329999,759663.5851210001,750786.309,783530.508978,833349.1399675
France,FRA,24550020.702,27085632.1098,29819791.6954,42308762.601,45500331.988800004,46316866.8888,50252255.8608,50848233.905999996,53471597.4896,54065373.898536,55537085.545237,51911645.05632,52892063.792592004,53870679.050500005,55098857.766336,56156007.491216995,57262466.64104,58409607.344505005,58082123.44499499,59298395.361268
Faroe Islands,FRO,32191.617024000003,32837.018334,33524.86599,36757.604400000004,36686.967899999996,36681.073800000006,36590.064,39189.831846,41209.221432,43421.4,45183.32399999999,46064.742,47044.567368,48968.599239999996,30252.829568,31423.9488075,32617.598093499997,33604.524472499994,33956.498591999996,46770.595927200004
"Micronesia, Fed. Sts.",FSM,12331.784575,13237.305368,14118.279686999998,14966.86468,15784.826400000002,16571.3995,21508.0,24555.144,28023.78016,30057.638000000003,32139.414,34246.735876,36378.912150000004,38651.281721,40226.694,41907.16,43682.381027999996,44610.30835199999,45454.82747599999,95572.772176
Gabon,GAB,42350.7272363,71612.615437,82795.634604,89748.18779000001,120538.125,157847.82,223584.27,320757.3,443253.36,584209.95742,753200.240088,934456.608705,1009245.340038,1085354.2369,1318541.528,1557585.20463,1678624.3524060003,1738367.7449080003,1791341.4323969998,2083870.2826812002
United Kingdom,GBR,39358064.4705,42280844.2,41874781.524,46047037.4667,48450503.3805,52038051.212,53351410.25,54010371.97799999,55724948.081999995,57615469.722393,59184297.073634,59907116.828657,62183912.158494,59733459.015314,60274215.180479996,61834697.305282004,63605218.616588004,63848642.522572,64632752.892,56644816.44
Georgia,GEO,152625.072548,237249.0418674,292069.0622736,318849.05079999997,385229.74490000005,765553.8933,1018620.955,1184030.2031999999,1377446.0556,1609750.2439999997,1826325.25935,1772106.3426480002,2179073.330465,2225823.42822,2337213.275271,2561208.083187,2700145.4782559997,2834961.6164700002,2922158.5867259996,3042393.530686
Ghana,GHA,375434.940064,411094.108656,627439.7887236001,910227.7415,1035472.6941999999,1352528.9216,1987049.61,2348557.92,2833832.4080000003,4107928.95,5327902.48,6600095.64,8219887.76,11368424.846068,13174161.55,6899849.447740001,19935492.879384,22307804.19,23151533.50256,27842998.107528005
Guinea,GIN,46112.87180594,50135.95892376,60186.70983131999,75368.20737025,91069.604,95349.2196,103960.86,213136.2,338569.011,503634.285,734267.136,1082570.44,1581566.93,2316118.233,2773452.1641999995,3045644.3893979997,3930245.303922,4292898.72543,4767924.12451,11945907.204616
"Gambia, The",GMB,53633.00096,63330.73563,89840.7871475,109566.98300960001,125068.2176,142789.4986,177249.96,215643.272152,254348.858248,294534.8,336800.5568,391517.10400000005,454470.03099999996,526992.525,679095.8560000001,874636.464,1127382.976489,1279365.0624600002,1428700.45653,2251276.1128400005
Guinea-Bissau,GNB,24401.9884282,26269.0427145,29115.613315999995,32013.104118000003,35042.034840600005,35156.7361656,38375.501500000006,42967.790720000005,47791.8428383,52575.163,57805.2504,108973.877,252801.23400000003,277806.656,301780.376,450997.890896,567105.7479300001,587587.044877,664652.33943,1808119.9981979998
Equatorial Guinea,GNQ,7594.6695381,10892.731029300001,12668.368621700001,16132.4483328,19738.446,24189.834899999998,71345.1,142811.025,180352.921656,220779.75199999998,264007.5608,309976.3836,358646.6308,409972.7104,710727.822024,820619.7566489999,944079.714084,1065097.937382,1205116.1441849999,1560979.3697079998
Greece,GRC,2346591.2022,2636955.36,3554066.745,3964192.1124,4231735.262,4709375.208000001,4937875.404,5735680.333500001,6082487.5577,6564466.112893001,6884800.162149,7232137.15305,7444892.068509,7516767.79347,7753262.230688,8113149.7583840005,8357296.197641999,8296225.050201,8680427.817574,8845811.169976
Grenada,GRD,21395.167038,22482.082452,23564.4846,24635.353799999997,25705.692799999997,26756.587000000003,30128.22,33623.7,36088.0,39720.45,58892.112,60204.9,61364.29,62567.39600000001,71034.27399999999,80736.925682,85240.258516,82983.13795199999,93408.22591499999,101109.395385
Greenland,GRL,31926.50189,32853.43079,33702.011558,34538.1385,35385.2496,35387.7409,35850.15,36409.6,36867.4176,37165.814,37548.765,37933.288455999995,38487.915674,39029.7099,28823.8335,32051.960850000003,34040.003116500004,34546.149605,38047.804839000004,49874.47182
Guatemala,GTM,653177.502,745994.853,868884.835,996598.92,1156619.442,1322051.823,1522511.76,1819431.4980000001,2414343.52,3031305.389,3669523.65,4600804.316837001,5614235.194680001,6279028.302999999,6990959.275,7594259.57003,8246864.325975001,8947435.238400001,9710012.546711,16141092.605738
Guam,GUM,59236.64457999999,63378.979634999996,72284.209246,76271.546835,80226.396591,84153.33065999999,89988.48879999999,96095.311,102350.45020199999,108541.76400000001,114632.15219999998,120611.51699999999,126475.8333,131618.44195,75320.377,85354.52904000001,97824.732344,107990.74118000001,115395.24353999998,150527.085204
Guyana,GUY,28209.466,43372.098,67547.974,104446.81800000001,137338.292,179750.466,224027.544,223845.9,227617.84,232506.51,241353.28,257985.54,272281.21679999994,328140.533,404485.11600000004,493483.315,590602.1006530001,661124.3051120001,700990.2878309999,758192.925501
High income,HIC,628615720.3202018,679589064.651,719819048.947,797439394.025,839611628.2939999,875015330.2080001,913219242.81,936965956.83,986420239.758,1011274226.8640001,1041393150.49,1065540001.662,1129323676.8,1158943159.842,1191587449.8240001,1211834289.852,1250572351.5,1266429551.046,1281593643.48,1303833392.603
"Hong Kong SAR, China",HKG,3825887.2165000006,3876710.8,4169116.8,4481762.4,4640852.6,4839123.2,5057424.0,5105695.2,5212422.9,5326743.8,5773934.1585,6193842.689200001,6418013.6603999995,6610696.3188,6745154.4924,6888002.7286,6913424.011,6900647.223199999,7023870.669600001,6830366.843300001
